CMDLINE python3 thread/client.py
MEM 27.375000 1729535412.0834
MEM 27.375000 1729535412.1885
MEM 27.375000 1729535412.2896
MEM 27.328125 1729535412.3907
MEM 27.328125 1729535412.4958
MEM 27.328125 1729535412.5981
MEM 27.328125 1729535412.7032
MEM 27.328125 1729535412.8084
MEM 27.328125 1729535412.9135
MEM 27.328125 1729535413.0186
